test_case,case_id,case_category,source_family,feature_representation,simulation_model,observation_model,benchmark_intent,scientific_caution,recommended_simulation_family,method,run_id,benchmark_class,benchmark_grid,benchmark_repeat,params,true_clusters,found_clusters,samples,features,noise,ari,nmi,ami,purity,homogeneity,completeness,v_measure,fowlkes_mallows,macro_recall,macro_f1,worst_cluster_recall,n_singleton_clusters,singleton_fraction,median_cluster_size,largest_cluster_fraction,effective_cluster_count,cluster_size_entropy,cluster_size_gini,noise_label_fraction,silhouette_score,davies_bouldin_index,calinski_harabasz_index,outlier_precision,outlier_recall,outlier_f1,singleton_outlier_isolated,grouped_outlier_cluster_recovered,cluster_count_abs_error,over_split,under_split,tree_build_sec,populate_divergences_sec,edge_gate_sec,edge_gate_contrast_covariance_sec,edge_gate_projection_sec,edge_gate_wald_statistic_sec,edge_gate_tree_bh_sec,spectral_context_sec,tangent_whitening_sec,eigensolve_sec,pca_projection_sec,sibling_gate_sec,sibling_gate_pair_record_collection_sec,sibling_gate_inflation_fit_sec,sibling_gate_adjusted_tests_sec,sibling_gate_fdr_sec,traversal_sec,status,skip_reason,unsupported_reason_code,unsupported_stage,unsupported_reason,unsupported_focal_record_count,unsupported_admissible_support_count,unsupported_invalid_record_count,unsupported_upstream_tested_count,unsupported_upstream_rejected_count,labels_length
11,gauss_null_small,gaussian_null,gaussian_blobs,median_binary,isotropic_gaussian_mixture,per_feature_median_thresholded_continuous_matrix,discretized_continuous_stress,"The simulated source is continuous but the observed benchmark matrix is median-thresholded binary; interpret it as a discretized stress case, not as raw Gaussian clustering.",explicit_bernoulli_threshold_model_or_continuous_gaussian_variant,tbs_diffusion_adaptive_nnls,tbs_diffusion_adaptive_nnls::bandwidth_type__1__d_2___branch_length_optimization_max_iterations_1000__branch_length_optimization_method_fixed_topology_nnls__branch_length_optimization_pair_sample_size_50000__branch_length_optimization_random_state_0__branch_length_optimization_solver_tolerance_1e_05__branch_length_optimization_target_metric_squared_standardized_euclidean__diffusion_method_adaptive_pydiffmap_diffusion__diffusion_time_3__edge_branch_length_variance_policy_normalized_branch_length__epsilon_median__k_neighbors_10__metric_hamming__n_components_30__tree_linkage_method_average,canonical,default_methods,0,"bandwidth_type=-1/(d+2), benchmark_seed=400, branch_length_optimization_apply_nonconverged=False, branch_length_optimization_max_iterations=1000, branch_length_optimization_method=fixed_topology_nnls, branch_length_optimization_pair_sample_size=50000, branch_length_optimization_random_state=0, branch_length_optimization_solver_tolerance=1e-05, branch_length_optimization_target_metric=squared_standardized_euclidean, diffusion_method=adaptive_pydiffmap_diffusion, diffusion_time=3, edge_alpha=0.001, edge_branch_length_variance_policy=normalized_branch_length, epsilon=median, k_neighbors=10, metric=hamming, n_components=30, sibling_alpha=0.01, tree_linkage_method=average",1,1,60,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0009053749963641,0.0009258330101147,0.016145375004271,0.0061139960598666,0.0001705039758235,0.0029058680083835,0.0004962089878972,0.0043935419962508,0.0005942900461377,0.0018832070200005,0.0006437989650294,0.0191054160095518,0.0071376669948222,0.0005818329955218,0.0056437500024912,0.0039969579956959,1.4082994312047958e-05,ok,,,,,,,,,,60
12,gauss_null_large,gaussian_null,gaussian_blobs,median_binary,isotropic_gaussian_mixture,per_feature_median_thresholded_continuous_matrix,discretized_continuous_stress,"The simulated source is continuous but the observed benchmark matrix is median-thresholded binary; interpret it as a discretized stress case, not as raw Gaussian clustering.",explicit_bernoulli_threshold_model_or_continuous_gaussian_variant,tbs_diffusion_adaptive_nnls,tbs_diffusion_adaptive_nnls::bandwidth_type__1__d_2___branch_length_optimization_max_iterations_1000__branch_length_optimization_method_fixed_topology_nnls__branch_length_optimization_pair_sample_size_50000__branch_length_optimization_random_state_0__branch_length_optimization_solver_tolerance_1e_05__branch_length_optimization_target_metric_squared_standardized_euclidean__diffusion_method_adaptive_pydiffmap_diffusion__diffusion_time_3__edge_branch_length_variance_policy_normalized_branch_length__epsilon_median__k_neighbors_10__metric_hamming__n_components_30__tree_linkage_method_average,canonical,default_methods,0,"bandwidth_type=-1/(d+2), benchmark_seed=401, branch_length_optimization_apply_nonconverged=False, branch_length_optimization_max_iterations=1000, branch_length_optimization_method=fixed_topology_nnls, branch_length_optimization_pair_sample_size=50000, branch_length_optimization_random_state=0, branch_length_optimization_solver_tolerance=1e-05, branch_length_optimization_target_metric=squared_standardized_euclidean, diffusion_method=adaptive_pydiffmap_diffusion, diffusion_time=3, edge_alpha=0.001, edge_branch_length_variance_policy=normalized_branch_length, epsilon=median, k_neighbors=10, metric=hamming, n_components=30, sibling_alpha=0.01, tree_linkage_method=average",1,1,200,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,200.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0026950840110657,0.0032408750121248,0.0732164999935776,0.0401181616907706,0.0005816229531774,0.0096593989728717,0.0006954999989829,0.0182471249863738,0.0034026210341835,0.0086665049748262,0.002174551875214,0.0360792090068571,0.0338779159937985,0.0,0.0,0.0001103749964386,2.7250003768131137e-05,ok,,,,,,,,,,200
15,gauss_null_large_continuous,continuous_gaussian_examples,gaussian_blobs,continuous,isotropic_gaussian_mixture,continuous_feature_matrix,continuous_reference_or_diagnostic,none,gaussian_mixture_or_sparse_subspace_gaussian,tbs_diffusion_adaptive_nnls,tbs_diffusion_adaptive_nnls::bandwidth_type__1__d_2___branch_length_optimization_max_iterations_1000__branch_length_optimization_method_fixed_topology_nnls__branch_length_optimization_pair_sample_size_50000__branch_length_optimization_random_state_0__branch_length_optimization_solver_tolerance_1e_05__branch_length_optimization_target_metric_squared_standardized_euclidean__diffusion_method_adaptive_pydiffmap_diffusion__diffusion_time_3__edge_branch_length_variance_policy_normalized_branch_length__epsilon_median__k_neighbors_10__metric_hamming__n_components_30__tree_linkage_method_average,canonical,default_methods,0,"bandwidth_type=-1/(d+2), benchmark_seed=401, branch_length_optimization_apply_nonconverged=False, branch_length_optimization_max_iterations=1000, branch_length_optimization_method=fixed_topology_nnls, branch_length_optimization_pair_sample_size=50000, branch_length_optimization_random_state=0, branch_length_optimization_solver_tolerance=1e-05, branch_length_optimization_target_metric=squared_standardized_euclidean, diffusion_method=adaptive_pydiffmap_diffusion, diffusion_time=3, edge_alpha=0.001, edge_branch_length_variance_policy=normalized_branch_length, epsilon=median, k_neighbors=10, metric=hamming, n_components=30, sibling_alpha=0.01, tree_linkage_method=average",1,0,200,80,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,tbs_diffusion_adaptive_nnls uses Hamming diffusion and requires binary or one-hot feature matrices; continuous FeatureSpace inputs are unsupported.,,,,,,,,,0
53,binary_null_small,binary_null,binary_template,binary,bernoulli_template_latent_class,native_binary_feature_matrix,binary_distributional_recovery,none,bernoulli_template_or_latent_class_binary_model,tbs_diffusion_adaptive_nnls,tbs_diffusion_adaptive_nnls::bandwidth_type__1__d_2___branch_length_optimization_max_iterations_1000__branch_length_optimization_method_fixed_topology_nnls__branch_length_optimization_pair_sample_size_50000__branch_length_optimization_random_state_0__branch_length_optimization_solver_tolerance_1e_05__branch_length_optimization_target_metric_squared_standardized_euclidean__diffusion_method_adaptive_pydiffmap_diffusion__diffusion_time_3__edge_branch_length_variance_policy_normalized_branch_length__epsilon_median__k_neighbors_10__metric_hamming__n_components_30__tree_linkage_method_average,canonical,default_methods,0,"bandwidth_type=-1/(d+2), benchmark_seed=10000, branch_length_optimization_apply_nonconverged=False, branch_length_optimization_max_iterations=1000, branch_length_optimization_method=fixed_topology_nnls, branch_length_optimization_pair_sample_size=50000, branch_length_optimization_random_state=0, branch_length_optimization_solver_tolerance=1e-05, branch_length_optimization_target_metric=squared_standardized_euclidean, diffusion_method=adaptive_pydiffmap_diffusion, diffusion_time=3, edge_alpha=0.001, edge_branch_length_variance_policy=normalized_branch_length, epsilon=median, k_neighbors=10, metric=hamming, n_components=30, sibling_alpha=0.01, tree_linkage_method=average",1,0,60,80,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,"tbs_diffusion_adaptive_nnls uses pydiffmap variable-bandwidth diffusion, but the largest exact duplicate block has 60 rows. pydiffmap's internal NNKDE query size is 8, which can produce zero local bandwidths and non-finite diffusion weights.",,,,,,,,,0
54,binary_null_medium,binary_null,binary_template,binary,bernoulli_template_latent_class,native_binary_feature_matrix,binary_distributional_recovery,none,bernoulli_template_or_latent_class_binary_model,tbs_diffusion_adaptive_nnls,tbs_diffusion_adaptive_nnls::bandwidth_type__1__d_2___branch_length_optimization_max_iterations_1000__branch_length_optimization_method_fixed_topology_nnls__branch_length_optimization_pair_sample_size_50000__branch_length_optimization_random_state_0__branch_length_optimization_solver_tolerance_1e_05__branch_length_optimization_target_metric_squared_standardized_euclidean__diffusion_method_adaptive_pydiffmap_diffusion__diffusion_time_3__edge_branch_length_variance_policy_normalized_branch_length__epsilon_median__k_neighbors_10__metric_hamming__n_components_30__tree_linkage_method_average,canonical,default_methods,0,"bandwidth_type=-1/(d+2), benchmark_seed=10001, branch_length_optimization_apply_nonconverged=False, branch_length_optimization_max_iterations=1000, branch_length_optimization_method=fixed_topology_nnls, branch_length_optimization_pair_sample_size=50000, branch_length_optimization_random_state=0, branch_length_optimization_solver_tolerance=1e-05, branch_length_optimization_target_metric=squared_standardized_euclidean, diffusion_method=adaptive_pydiffmap_diffusion, diffusion_time=3, edge_alpha=0.001, edge_branch_length_variance_policy=normalized_branch_length, epsilon=median, k_neighbors=10, metric=hamming, n_components=30, sibling_alpha=0.01, tree_linkage_method=average",1,0,200,150,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,"tbs_diffusion_adaptive_nnls uses pydiffmap variable-bandwidth diffusion, but the largest exact duplicate block has 200 rows. pydiffmap's internal NNKDE query size is 8, which can produce zero local bandwidths and non-finite diffusion weights.",,,,,,,,,0
120,phylo_brownian_null_16taxa,method_proof,phylogenetic_brownian,continuous,brownian_like_phylogenetic_continuous_model,continuous_feature_matrix,continuous_reference_or_diagnostic,none,gaussian_mixture_or_sparse_subspace_gaussian,tbs_diffusion_adaptive_nnls,tbs_diffusion_adaptive_nnls::bandwidth_type__1__d_2___branch_length_optimization_max_iterations_1000__branch_length_optimization_method_fixed_topology_nnls__branch_length_optimization_pair_sample_size_50000__branch_length_optimization_random_state_0__branch_length_optimization_solver_tolerance_1e_05__branch_length_optimization_target_metric_squared_standardized_euclidean__diffusion_method_adaptive_pydiffmap_diffusion__diffusion_time_3__edge_branch_length_variance_policy_normalized_branch_length__epsilon_median__k_neighbors_10__metric_hamming__n_components_30__tree_linkage_method_average,canonical,default_methods,0,"bandwidth_type=-1/(d+2), benchmark_seed=21500, branch_length_optimization_apply_nonconverged=False, branch_length_optimization_max_iterations=1000, branch_length_optimization_method=fixed_topology_nnls, branch_length_optimization_pair_sample_size=50000, branch_length_optimization_random_state=0, branch_length_optimization_solver_tolerance=1e-05, branch_length_optimization_target_metric=squared_standardized_euclidean, diffusion_method=adaptive_pydiffmap_diffusion, diffusion_time=3, edge_alpha=0.001, edge_branch_length_variance_policy=normalized_branch_length, epsilon=median, k_neighbors=10, metric=hamming, n_components=30, sibling_alpha=0.01, tree_linkage_method=average",16,0,160,100,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,tbs_diffusion_adaptive_nnls uses Hamming diffusion and requires binary or one-hot feature matrices; continuous FeatureSpace inputs are unsupported.,,,,,,,,,0
